"Species ","Phase","T","Cp¡","S¡","(Gt¡-H¡tr)/T","Ht¡-H¡tr","_H¡f,e","_G¡f,e","log K¡f,e","_H¡f, ox","_G¡f, ox","log K¡f, ox","Hfe298"
"Al","Crystal",300,24.338,28.5,-28.351,45,0,0,0,"NA","NA","NA",0
"Al","Crystal",650,28.525,48.747,-34.441,9299,0,0,0,"NA","NA","NA",0
"Al","Crystal",933,33.533,59.84,-40.518,18027,0,0,0,"NA","NA","NA",0
"Al","Liquid",933,31.756,71.405,-40.518,28817,0,0,0,"NA","NA","NA",0
"Al","Liquid",1050,31.756,75.157,-44.173,32532,0,0,0,"NA","NA","NA",0
"Al","Liquid",1800,31.756,92.273,-60.968,56360,0,0,0,"NA","NA","NA",0
"HAlO2","Diaspore",300,53.374,35.668,-35.34,98,-999484,-920457,160.266,-18741,-11172,1.945,-999456
"HAlO2","Diaspore",450,70.202,60.806,-39.732,9483,-1000594,-880621,102.22,-40739,-2615,0.304,-999456
"HAlO2","Diaspore",571.86,78.955,78.696,-46.168,18601,-1000349,-848146,77.471,-40241,7656,-0.699,-999456
"HAlO2","Boehmite",571.86,100.858,102.904,-46.167,32446,-986505,-848146,77.471,-26397,7656,-0.699,-999456
"HAlO2","Boehmite",650,107.047,116.221,-53.797,40575,-984227,-829385,66.65,-24096,12162,-0.977,-999456
"HAlO2","Boehmite",700,110.493,124.282,-58.546,46015,-982603,-817534,61.005,-22484,14891,-1.111,-999456
"Al(OH)3","Gibbsite",298.15,91.729,68.44,-68.44,0,-1293334,-1155197,"NA",-26766,-8311,1.456,-1293334
"Al(OH)3","Gibbsite",350,104.706,84.185,-69.612,5101,-1294071,-1131105,168.808,-29700,-4854,0.724,-1293334
"Al(OH)3","Gibbsite",550,142.361,139.954,-85.298,30061,-1292350,-1038096,"NA",-87923,38280,-3.635,-1293334
"Al(OH)3","Gibbsite",750,169.716,188.303,-106.464,61379,-1285312,-946657,65.931,-79120,82849,-5.77,-1293334
"CaAl2SiO6","Ca-Al Clinopyroxene",350,183.805,169.673,-143.709,9087,-3299427,-3092193,461.484,-77430,-81350,12.141,-3298900
"CaAl2SiO6","Ca-Al Clinopyroxene",600,226.056,281.16,-179.053,61264,-3296351,-2944748,256.363,-77299,-84228,7.333,-3298900
"CaAl2SiO6","Ca-Al Clinopyroxene",900,246.629,377.215,-229.947,132541,-3291262,-2770058,160.77,-78828,-87458,5.076,-3298900
"CaAl2SiO6","Ca-Al Clinopyroxene",1250,259.283,460.39,-283.366,221280,-3313894,-2560034,106.978,-77722,-90990,3.802,-3298900
"CaAl2SiO6","Ca-Al Clinopyroxene",1500,265.202,508.213,-316.962,286877,-3305525,-2410034,83.925,-76839,-93728,3.264,-3298900
"CaAl2SiO6","Ca-Al Clinopyroxene",1800,270.488,557.056,-353.017,367270,-3497557,-2224591,64.556,-76171,-97180,2.82,-3298900
"CaAl2Si2O8","Anorthite",500,271.072,325.005,-225.812,49597,-4227233,-3849193,402.122,-95703,-109314,11.42,-4227800
"CaAl2Si2O8","Anorthite",750,301.337,441.496,-279.262,121675,-4222255,-3661332,254.998,-97429,-115851,8.069,-4227800
"CaAl2Si2O8","Anorthite",1000,318.091,530.591,-331.392,199199,-4238152,-3473706,181.448,-100331,-121360,6.339,-4227800
"CaAl2Si2O8","Anorthite",1250,334.703,603.292,-378.71,280727,-4238666,-3282305,137.16,-99358,-126697,5.294,-4227800
"CaAl2Si2O8","Anorthite",1500,356.786,666.158,-421.483,367013,-4225555,-3092190,107.68,-95964,-132429,4.612,-4227800
"CaAl2Si2O8","Anorthite",1800,394.348,734.324,-468.02,479347,-4455352,-2856748,82.901,-85998,-140523,4.078,-4227800
"Ca2Al2Si3O10(OH)2","Prehnite",400,389.191,398.769,-306.541,36891,-6194738,-5687589,742.722,-273429,-214842,28.055,-6193631
"Ca2Al2Si3O10(OH)2","Prehnite",750,479.006,674.515,-418.443,192054,-6183569,-5247244,365.45,-270325,-164730,11.473,-6193631
"Ca2Al2Si3O10(OH)2","Prehnite",1000,499.759,815.648,-500.823,314825,-6194136,-4935363,257.797,-269433,-129409,6.76,-6193631
"Ca2Al2Si3O10(OH)2","Prehnite",1250,505.257,927.964,-575.417,440684,-6199772,-4619691,193.046,-266000,-94859,3.964,-6193631
"Ca2Al2SiO7","Gehlenite",300,206.095,211.163,-209.895,381,-3981738,-3781768,658.464,-125116,-137504,23.942,-3981700
"Ca2Al2SiO7","Gehlenite",550,263.707,354.815,-245.085,60351,-3980375,-3615022,343.326,-126418,-147454,14.004,-3981700
"Ca2Al2SiO7","Gehlenite",1050,297.965,537.664,-344.676,202637,-3997596,-3282255,163.283,-131392,-164775,8.197,-3981700
"Ca2Al2SiO7","Gehlenite",1400,309.664,625.013,-404.295,309005,-4006075,"NA",113.437,-133455,-175589,6.551,-3981700
"Ca2Al2SiO7","Gehlenite",1650,318.765,676.596,-441.733,387523,-3997028,"NA",90.814,-134674,"NA",5.793,-3981700
"Ca3Al2Si3O12","Grossular",300,331.858,258.02,-255.978,613,-6636393,-6272676,1092.169,-323267,-313161,54.526,-6636300
"Ca3Al2Si3O12","Grossular",550,438.472,494.171,-313.54,99347,-6633217,-5969548,566.94,-324705,-304203,28.891,-6636300
"Ca3Al2Si3O12","Grossular",850,480.473,695.26,-414.812,238381,-6624262,-5609784,344.735,-331297,-292230,17.958,-6636300
"Ca3Al2Si3O12","Grossular",1100,491.933,820.816,-493.375,360186,-6641676,-5308277,252.069,-332454,-280618,13.325,-6636300
"Ca3Al2Si3O12","Grossular",1500,495.192,974.136,-602.169,557950,-6649699,-4817329,167.754,-339253,-260890,9.085,-6636300
"Al2Si4O10(OH)2","Pyrophyllite",350,327.053,289.276,-243.15,16144,-5643428,-5203241,776.541,-39606,-21010,3.136,-5642023
"Al2Si4O10(OH)2","Pyrophyllite",600,414.699,490.623,-306.449,110504,-5639196,-4889274,425.649,-79092,17062,-1.485,-5642023
"Al2Si4O10(OH)2","Pyrophyllite",1000,504.506,722.704,-428.988,293717,-5635437,-4393670,229.502,-73323,80595,-4.21,-5642023
"Al2Si2O5(OH)4","Halloysite",300,246.27,204.854,-203.339,455,-4101088,-3778595,657.911,-32440,-11200,1.95,-4101028
"Al2Si2O5(OH)4","Halloysite",550,326.629,380.696,-246.172,73988,-4100636,-3509073,333.264,-115465,47741,-4.534,-4101028
"Al2Si2O5(OH)4","Halloysite",800,350.551,508.281,-309.156,159300,-4093747,-3241514,211.649,-111642,121017,-7.902,-4101028
"Al2Si2O5(OH)4","Kaolinite",300,247.159,206.492,-204.971,456,-4119839,-3797838,661.262,-51191,-30442,5.3,-4119800
"Al2Si2O5(OH)4","Kaolinite",550,326.624,382.631,-247.904,74100,-4119277,-3528779,335.135,-134106,28036,-2.663,-4119800
"Al2Si2O5(OH)4","Kaolinite",800,350.476,510.171,-310.944,159381,-4112419,-3261698,212.967,-130313,100834,-6.584,-4119800
"Al2O3","Corundum",300,79.772,51.409,-50.918,147,-1675736,-1581712,275.4,0,0,0,-1675711
"Al2O3","Corundum",550,109.195,109.425,-64.984,24443,-1675833,-1502991,142.742,0,0,0,-1675711
"Al2O3","Corundum",800,120.545,152.612,-85.93,53346,-1673670,-1424845,93.033,0,0,0,-1675711
"Al2O3","Corundum",1050,126.197,186.201,-105.956,84258,-1693201,-1344652,66.893,0,0,0,-1675711
"Al2O3","Corundum",1300,129.655,213.533,-124.098,116266,-1690385,-1261965,50.706,0,0,0,-1675711
"Al2O3","Corundum",1550,132.345,236.573,-140.429,149023,-1687120,-1179866,39.761,0,0,0,-1675711
"Al2SiO5","Kyanite",300,122.936,85.224,-84.468,227,-2594305,-2443181,425.395,-7862,-5486,0.955,-2594270
"Al2SiO5","Kyanite",430.46,153.475,135.347,-92.471,18456,-2595232,-2377184,288.462,-8009,-4420,0.536,-2594270
"Al2SiO5","Andalusite",430.46,153.273,144.555,-92.471,22420,-2591268,-2377184,288.462,-4045,-4420,0.536,-2594270
"Al2SiO5","Andalusite",700,180.419,226.378,-129.132,68072,-2588357,-2243729,167.429,-4806,-4522,0.337,-2594270
"Al2SiO5","Andalusite",1016.9,192.213,296.073,-170.859,127330,-2605672,-2086626,107.183,-7138,-3842,0.197,-2594270
"Al2SiO5","Sillimanite",1016.9,194.962,298.992,-170.859,130298,-2602704,-2086626,107.183,-4170,-3842,0.197,-2594270
"Al2SiO5","Sillimanite",1400,202.368,362.632,-215.038,206631,-2595216,-1893430,70.645,-4253,-3724,0.139,-2594270
"Al2SiO5","Sillimanite",1750,204.668,408.092,-249.263,277949,-2638354,-1716874,51.246,-5499,-3482,0.104,-2594270
"Ca2Al3Si3O12(OH)","Zoisite",450,432.626,457.851,-324.14,60170,-6892114,-6293479,730.528,-254640,-220323,25.574,-6891117
"Ca2Al3Si3O12(OH)","Zoisite",700,498.846,664.408,-410.621,177651,-6883526,-5962640,444.937,-255402,"NA",15.009,-6891117
"Ca2Al3Si3O12(OH)","Zoisite",900,527.277,793.485,-481.828,280491,-6876296,-5700290,330.836,-258388,-185289,10.754,-6891117
"Ca2Al3Si3O12(OH)","Zoisite",1200,551.761,948.902,-579.953,442739,-6911523,-5299540,230.683,"NA",161546,7.032,-6891117
"CaAl4Si2O10(OH)2","Margarite",300,324.858,265.647,-263.648,600,-6239691,-5852682,1019.042,-145967,-137149,23.88,-6239610
"CaAl4Si2O10(OH)2","Margarite",550,439.497,499.626,-320.471,98535,-6238608,-5529243,525.123,-188046,-108899,10.342,-6239610
"CaAl4Si2O10(OH)2","Margarite",800,488.316,673.954,-404.918,215229,-6228287,-5208789,340.099,-185270,-73494,4.799,-6239610
"CaAl4Si2O10(OH)2","Margarite",1050,513.622,810.379,-485.814,340792,-6259413,-4886475,243.089,-181192,-38878,1.934,-6239610
"CaO","Lime",300,42.256,38.361,-38.101,78,-635090,-603284,105.041,0,0,0,-635094
"CaO","Lime",550,49.707,66.47,-45.081,11764,-633898,-577126,54.811,0,0,0,-635094
"CaO","Lime",800,52.513,85.649,-54.922,24582,-633728,-551447,36.006,0,0,0,-635094
"CaO","Lime",1150,54.624,105.099,-67.393,43362,-642827,-515099,"NA",0,0,0,-635094
"CaO","Lime",1650,56.879,125.205,-82.028,71243,-638633,"NA",14.573,0,0,0,-635094
"CaSiO3","Wollastonite",300,87.843,81.571,-81.03,162,-1634769,-1548682,269.649,-88972,-89414,15.568,-1634766
"CaSiO3","Wollastonite",550,110.331,142.113,-95.907,25413,-1633240,-1477256,140.298,-89013,-89805,8.529,-1634766
"CaSiO3","Wollastonite",800,119.863,185.331,-117.427,54323,-1631382,-1406787,91.854,-89923,-90025,5.878,-1634766
"CaSiO3","Wollastonite",1250,127.961,240.735,-152.477,110322,-1635589,-1280265,53.499,-90403,-89676,3.747,-1634766
"CaSiO3","Wollastonite",1398,129.654,255.149,-162.596,129389,-1632923,-1238346,46.269,-90226,-89601,3.348,-1634766
"CaSiO3","Cyclowollastonite",1398,129.533,259.287,-162.596,135174,-1627138,-1238346,46.269,-84442,-89601,3.348,-1634766
"CaSiO3","Cyclowollastonite",1550,131.27,272.747,-172.748,154998,-1624302,-1196222,40.312,-84347,-90167,3.039,-1634766
"CaSiO3","Cyclowollastonite",1800,133.601,292.553,-188.043,188119,-1822415,-1120188,"NA",-84408,-91106,2.644,-1634766
"Ca2SiO4","gamma",300,126.025,121.278,-120.502,233,-2316540,-2199051,382.889,-135654,-136500,23.767,-2316534
"Ca2SiO4","gamma",550,155.417,206.706,-141.556,35833,-2315156,-2101369,199.571,-137032,-136792,12.991,-2316534
"Ca2SiO4","gamma",900,178.138,289.023,-183.842,94663,-2312342,-1966059,114.107,-139233,-136075,7.898,-2316534
"Ca2SiO4","gamma",1120,184.13,328.733,-208.523,134635,-2328467,-1881432,87.746,-138162,-135418,6.316,-2316534
"Ca2SiO4","alphaprime",1120,185.325,340.964,-208.523,148334,-2314768,-1881432,87.746,-124463,-135418,6.136,-2316534
"Ca2SiO4","alphaprime",1300,193.556,369.167,-228.848,182415,-2308952,-1812217,72.816,-122940,-137284,5.516,-2316534
"Ca2SiO4","alphaprime",1710,216.877,425.132,-269.38,266336,-2340863,-1657246,50.623,-115478,-142711,4.359,-2316534
"Ca2SiO4","alpha",1710,199.6,433.547,-269.38,280726,-2326473,-1657246,50.623,-101088,-142711,4.359,-2316534
"Ca2SiO4","alpha",1800,199.6,443.785,-277.846,298690,-2628383,-1614273,46.845,-100338,-144922,4.206,-2316534
"Ca2SiO4","beta",300,128.775,127.514,-126.721,238,-2306699,-2191081,381.501,-125813,-128529,22.379,-2306697
"Ca2SiO4","beta",700,170.532,255.561,-167.215,61842,-2301736,-2038637,152.125,-126277,-131967,9.848,-2306697
"Ca2SiO4","beta",970,182.445,313.187,-200.171,109625,-2299549,-1937314,104.325,-126699,-134005,7.216,-2306697
"Ca2SiO4","alphaprime",970,179.4,314.763,-200.171,111153,-2298021,-1937314,104.325,-125171,-134005,7.216,-2306697
"Ca2SiO4","alphaprime",1250,191.147,361.623,-231.254,162961,-2310685,-1831356,76.528,-123450,-136742,5.714,-2306697
"Ca2SiO4","alphaprime",1500,204.139,397.586,-256.038,212322,-2300951,-1736359,60.465,-120095,-139681,4.864,-2306697
"Ca2SiO4","alphaprime",1710,216.877,425.132,-275.132,256500,-2340863,-1657246,50.623,-115478,-142711,4.359,-2306697
"Ca2SiO4","alpha",1710,199.6,433.547,-275.132,270890,-2326473,-1657246,50.623,-101088,-142711,4.359,-2306697
"Ca2SiO4","alpha",1800,199.6,443.785,-283.311,288854,-2628383,-1614273,46.845,-100338,-144922,4.206,-2306697
"Ca3SiO5","Crystal",350,183.906,197.115,-170.744,9230,-2932784,-2762485,412.278,-117131,-121653,18.156,-2933130
"Ca3SiO5","Crystal",600,218.023,305.901,-205.789,60067,-2927651,-2642153,230.02,-116755,-124973,10.88,-2933130
"Ca3SiO5","Crystal",900,237.451,398.404,-255.398,128705,-2923286,-2500323,145.115,-116571,-129166,7.497,-2933130
"Ca3SiO5","Crystal",1300,251.118,488.343,-313.955,226705,-2939429,-2309096,92.781,-111768,"NA",5.451,-2933130
"Ca3SiO5","Crystal",1750,259.638,564.309,-368.993,341802,-2967863,-2092311,62.452,-106107,-144828,4.232,-2933130
"Ca3Si2O7","Rankinite",300,215.016,211.928,-210.604,397,-3973210,-3772357,656.825,-246527,-250537,43.622,-3973202
"Ca3Si2O7","Rankinite",550,267.039,359.181,-246.85,61782,-3969762,-3605691,342.44,"NA",-253661,24.091,-3973202
"Ca3Si2O7","Rankinite",800,287.391,463.345,-299.045,131439,-3966857,-3441012,224.675,-250213,-256041,16.718,-3973202
"Ca3Si2O7","Rankinite",1050,296.062,542.797,-348.004,204532,-3965267,-3277100,163.027,-253390,-257180,12.794,-3973202
"Ca3Si2O7","Rankinite",1300,298.936,606.399,-391.788,278995,-3985708,-3109251,124.931,-255333,257896,10.362,-3973202
"H2","Gas",300,28.839,130.748,-130.57,53,0,0,0,"NA","NA","NA",0
"H2","Gas",550,29.263,148.429,-135.066,7350,0,0,0,"NA","NA","NA",0
"H2","Gas",800,29.623,159.441,-141.066,14700,0,0,0,"NA","NA","NA",0
"H2","Gas",1050,30.397,167.59,-146.451,22196,0,0,0,"NA","NA","NA",0
"H2","Gas",1300,31.387,174.182,-151.169,29916,0,0,0,"NA","NA","NA",0
"H2","Gas",1750,33.311,183.783,-158.37,44473,0,0,0,"NA","NA","NA",0
"H2O","Liquid",273.15,75.884,63.307,-70.218,-1888,-286613,-241274,46.139,0,0,0,-285808
"H2O","Liquid",373.15,76.003,86.831,-71.681,5653,-283447,-225197,31.524,0,0,0,-285808
"H2O","Gas",373.15,34.048,196.318,-71.681,46509,-242592,-225197,31.524,0,0,0,-285808
"H2O","Gas",550,35.686,209.801,-114.048,52664,-244340,-216587,20.57,0,0,0,-285808
"H2O","Gas",800,38.715,223.699,-146.247,61956,-246488,-203528,13.289,0,0,0,-285808
"H2O","Gas",1050,41.878,234.632,-166.03,72032,-248200,-189849,9.444,0,0,0,-285808
"H2O","Gas",1300,44.848,243.887,-180.134,82878,-249511,-175803,7.064,0,0,0,-285808
"H2O","Gas",1750,49.283,257.877,-198.387,104108,-251051,-150023,4.478,0,0,0,-285808
"O2","Gas",300,29.391,205.214,-205.033,54,0,0,0,"NA","NA","NA",0
"O2","Gas",550,31.722,223.664,-209.676,7694,0,0,0,"NA","NA","NA",0
"O2","Gas",800,33.607,235.899,-216.059,15872,0,0,0,"NA","NA","NA",0
"O2","Gas",1050,34.985,245.227,-221.936,24455,0,0,0,"NA","NA","NA",0
"O2","Gas",1300,35.96,252.806,-227.167,33331,0,0,0,"NA","NA","NA",0
"O2","Gas",1750,36.88,263.649,-235.217,49757,0,0,0,"NA","NA","NA",0
"SiO2","alpha",300,44.928,41.737,-41.461,83,-910707,-855984,149.04,0,0,0,-910699
"SiO2","alpha",550,62.16,74.204,-49.314,13690,-910329,-810325,76.958,0,0,0,-910699
"SiO2","alpha",800,73.321,99.555,-61.192,30691,-907730,-765315,49.97,0,0,0,-910699
"SiO2","beta",1050,69.454,119.365,-72.877,48812,-904745,-721354,35.885,0,0,0,-910699
"SiO2","beta",1300,71.965,134.457,-83.311,66490,-902713,-677910,27.239,0,0,0,-910699
"SiO2","beta",1750,76.483,156.487,-99.407,99890,-948683,-598799,17.873,0,0,0,-910699
"Si","Crystal",300,19.999,18.934,-18.81,37,0,0,0,"NA","NA","NA",0
"Si","Crystal",550,23.97,32.365,-22.136,5626,0,0,0,"NA","NA","NA",0
"Si","Crystal",800,25.659,41.675,-26.861,11851,0,0,0,"NA","NA","NA",0
"Si","Crystal",1050,26.693,48.796,-31.269,18403,0,0,0,"NA","NA","NA",0
"Si","Crystal",1685,28.285,61.804,-40.494,35908,0,0,0,"NA","NA","NA",0
"Si","Liquid",1685,25.522,92.031,-40.948,86841,0,0,0,"NA","NA","NA",0
"Si","Liquid",1800,25.522,93.49,-43.827,89394,0,0,0,"NA","NA","NA",0
"Ca","alpha",300,25.341,41.773,-41.617,47,0,0,0,"NA","NA","NA",0
"Ca","alpha",600,29.558,60.385,-46.763,8173,0,0,0,"NA","NA","NA",0
"Ca","alpha",720,32.351,66.013,-49.51,11882,0,0,0,"NA","NA","NA",0
"Ca","beta",720,29.341,67.289,-49.51,12801,0,0,0,"NA","NA","NA",0
"Ca","beta",900,36.776,74.635,-53.8,18752,0,0,0,"NA","NA","NA",0
"Ca","beta",1112,45.524,83.307,-58.598,27476,0,0,0,"NA","NA","NA",0
"Ca","Liquid",1112,29.275,90.968,-58.598,35995,0,0,0,"NA","NA","NA",0
"Ca","Liquid",1755,29.275,104.327,-73.091,54819,0,0,0,"NA","NA","NA",0
"Ca","Gas",1755,20.851,191.628,-73.091,208032,0,0,0,"NA","NA","NA",0
